"","title","doi","arxiv_id","ads_id","altmetric_jid","issns","journal","context.all.count","context.all.mean","context.all.rank","context.all.pct","context.all.higher_than","context.journal.count","context.journal.mean","context.journal.rank","context.journal.pct","context.journal.higher_than","context.similar_age_3m.count","context.similar_age_3m.mean","context.similar_age_3m.rank","context.similar_age_3m.pct","context.similar_age_3m.higher_than","context.similar_age_journal_3m.count","context.similar_age_journal_3m.mean","context.similar_age_journal_3m.rank","context.similar_age_journal_3m.pct","context.similar_age_journal_3m.higher_than","type","altmetric_id","cited_by_gplus_count","cited_by_fbwalls_count","cited_by_posts_count","cited_by_tweeters_count","cited_by_accounts_count","cited_by_feeds_count","cited_by_rdts_count","cited_by_msm_count","cited_by_delicious_count","cited_by_forum_count","cited_by_qs_count","cited_by_rh_count","cited_by_wikipedia_count","score","citeulike","mendeley","connotea","url","added_on","published_on","subjects","scopus_subjects","last_updated","readers_count","details_url","pmid","abstract","abstract_source","pmc","cited_by_pinners_count","cited_by_videos_count","schema","is_oa","cited_by_posts_count.1","cited_by_tweeters_count.1","cited_by_accounts_count.1","cited_by_wikipedia_count.1","cited_by_weibo_count","cited_by_policies_count","isbns"
"51","Recurrence-based time series analysis by means of complex network
  methods","10.1142/s0218127411029021","1010.6032","2011IJBC...21.1019D","arxiv",NA,"arXiv","4557209","5.3377070156604","2340013","35","1617635","286066","2.1810843969028","74661","66","189593","166450","8.7312964331417","88244","36","59924","73","34.374861111111","66","6","5","article","4449796",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","27","0","http://dx.doi.org/10.1142/s0218127411029021",1440849979,NA,",",", ",1440849934,27,"http://www.altmetric.com/details.php?citation_id=4449796",NA,NA,NA,NA,NA,NA,"1.5.4",NA,NA,NA,NA,NA,NA,NA,NA
"52","Robustness of a Network of Networks","10.1103/physrevlett.107.195701","1010.5829","2011PhRvL.107s5701G","4f6fa6343cf058f610008519","0031-9007,1079-7114,","Physical Review Letters","4725912","5.6233745135616","690553","85","4031845","12276","8.6586253360489","3425","71","8782","73006","4.416632723786","9630","86","63312","157","5.0128461538462","57","63","100","article","441672",NA,NA,9,5,8,NA,NA,NA,NA,NA,NA,NA,3,6.25,"0","166","0","http://dx.doi.org/10.1103/physrevlett.107.195701",1320422556,1320105600,"medicine,","Physics and Astronomy, Physical Sciences, ",1368712500,166,"http://www.altmetric.com/details.php?citation_id=441672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Point process modeling for directed interaction networks","10.1111/rssb.12013","1011.1703","2010arXiv1011.1703P","arxiv",",","arXiv","3632901","4.9227823810231","327679","90","3277966","222623","2.7540612158728","8922","95","212574","85542","6.5090377246","10211","87","75066","1","0","1","1","0","article","1384853",NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,9,"0","28","0","http://dx.doi.org/10.1111/rssb.12013",1365951234,1262304000,",",", ",1302529692,28,"http://www.altmetric.com/details.php?citation_id=1384853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","A Separable Model for Dynamic Networks.","10.1111/rssb.12014",NA,NA,"4f6fa5643cf058f610004a2e",",","Journal of the Royal Statistical Society: Series B (Statistical Methodology)","3616414","4.9310398369908","2902448","1","71322","84","3.4363614457831","61","1","1","57789","7.748968228698","46774","1","226","1","0","1","1","0",NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"2","30","0","http://dx.doi.org/10.1111/rssb.12014",1426793525,1390348800,",","Mathematics, Social Sciences, Decision Sciences, Physical Sciences, ",1392657612,32,"http://www.altmetric.com/details.php?citation_id=3810235","24443639","Models of dynamic networks - networks that evolve over time - have manifold applications. We develop a discrete-time generative model for social network evolution that inherits the richness and flexibility of the class of exponential-family random graph models. The model - a Separable Temporal ERGM (STERGM) - facilitates separable modeling of the tie duration distributions and the structural dynamics of tie formation. We develop likelihood-based inference for the model, and provide computational algorithms for maximum likelihood estimation. We illustrate the interpretability of the model in analyzing a longitudinal network of friendship ties within a school.","pubmed","PMC3891677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Accuracy of mean-field theory for dynamics on real-world networks","10.1103/physreve.85.026106",NA,"2012PhRvE..85b6106G","4f6fa6343cf058f610008518","1539-3755,1550-2376,","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","4725905","5.5963178572073","1840772","60","2851439","4891","1.8969689161554","837","82","4020","234993","4.4965604871657","65438","71","167495","579","1.1741176470588","53","90","523","article","592866",NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2.25,"0","68","0","http://dx.doi.org/10.1103/physreve.85.026106",1328632126,1328054400,"physiology,statisticsastopic,biophysics,","Physics and Astronomy, Mathematics, Physical Sciences, ",1328666740,68,"http://www.altmetric.com/details.php?citation_id=592866",NA,NA,NA,NA,NA,NA,"1.5.4",NA,NA,NA,NA,NA,NA,NA,NA
"56","Truthy: mapping the spread of astroturf in microblog streams","10.1145/1963192.1963301","1011.3768","2010arXiv1011.3768R","4f6fa6383cf058f610008962",",","Social Networks","4729227","5.5465942099605","338272","92","4390436","261","5.4475615384615","28","89","233","59040","5.2221626382561","5030","91","54010","7","33.160666666667","2","71","5","article","203360",1,NA,16,10,14,NA,1,NA,NA,NA,NA,NA,2,12.45,"4","124","0","http://dx.doi.org/10.1145/1963192.1963301",1312384888,1262304000,",","Psychology, Social Sciences, ",1399202639,128,"http://www.altmetric.com/details.php?citation_id=203360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Dynamical strength of social ties in information spreading","10.1103/physreve.83.045102","1011.5367","2011PhRvE..83d5102M","4f6fa6343cf058f610008518","1539-3755,1550-2376,","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","4698265","5.4343644551998","264201","94","4433227","5070","1.7974957585323","61","98","5007","59365","5.2527193248433","3955","93","55388","149","1.4783378378378","2","98","147","article","223848",NA,1,5,3,5,NA,NA,1,NA,NA,NA,NA,NA,15.25,"0","103","0","http://dx.doi.org/10.1103/physreve.83.045102",1313198628,1301616000,"physiology,statisticsastopic,biophysics,","Physics and Astronomy, Mathematics, Physical Sciences, ",1340469546,103,"http://www.altmetric.com/details.php?citation_id=223848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Quantitative Analysis of Bloggers Collective Behavior Powered by
  Emotions","10.1088/1742-5468/2011/02/p02005","1011.6268","2011JSMTE..02..005M","4f6fa62a3cf058f610007e61",",","Journal of Statistical Mechanics: Theory and Experiment","4314767","4.9669446630263","343242","91","3967442","251","2.306248","15","94","236","88509","6.8844586026122","9880","88","78538","3","2","1","66","2","article","1504320",NA,NA,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,10.25,"0","49","0","http://dx.doi.org/10.1088/1742-5468/2011/02/p02005",1369394011,1262304000,",","Mathematics, Physics and Astronomy, Social Sciences, Decision Sciences, Physical Sciences, ",1412115240,49,"http://www.altmetric.com/details.php?citation_id=1504320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Identification of overlapping communities and their hierarchy by locally
  calculating community-changing resolution levels","10.1088/1742-5468/2011/01/p01023","1012.1269","2011JSMTE..01..023H","4f6fa62a3cf058f610007e61",",","Journal of Statistical Mechanics: Theory and Experiment","3685046","4.9228975163162","566008","84","3118785","240","2.2235983263598","27","88","213","75342","4.0208679736132","9781","87","65560","1","0","1","1","0","article","623618",NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,5.296,"0","25","0","http://dx.doi.org/10.1088/1742-5468/2011/01/p01023",1330369677,1262304000,",","Mathematics, Physics and Astronomy, Social Sciences, Decision Sciences, Physical Sciences, ",1337326200,25,"http://www.altmetric.com/details.php?citation_id=623618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Trust Transitivity in Social Networks","10.1371/journal.pone.0018384","1012.1358","2011PLoSO...6E8384R","4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,12,NA,NA,NA,NA,NA,NA,NA,1,12.45,"1","60","0","http://dx.doi.org/10.1371/journal.pone.0018384",1338391703,1301961600,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1352553619,61,"http://www.altmetric.com/details.php?citation_id=768770","21483683","Non-centralized recommendation-based decision making is a central feature of several social and technological processes, such as market dynamics, peer-to-peer file-sharing and the web of trust of digital certification. We investigate the properties of trust propagation on networks, based on a simple metric of trust transitivity. We investigate analytically the percolation properties of trust transitivity in random networks with arbitrary in/out-degree distributions, and compare with numerical realizations. We find that the existence of a non-zero fraction of absolute trust (i.e. entirely confident trust) is a requirement for the viability of global trust propagation in large systems: The average pair-wise trust is marked by a discontinuous transition at a specific fraction of absolute trust, below which it vanishes. Furthermore, we perform an extensive analysis of the Pretty Good Privacy (PGP) web of trust, in view of the concepts introduced. We compare different scenarios of trust distribution: community- and authority-centered. We find that these scenarios lead to sharply different patterns of trust propagation, due to the segregation of authority hubs and densely-connected communities. While the authority-centered scenario is more efficient, and leads to higher average trust values, it favours weakly-connected ""fringe"" nodes, which are directly trusted by authorities. The community-centered scheme, on the other hand, favours nodes with intermediate in/out-degrees, in detriment of the authorities and its ""fringe"" peers.",NA,"PMC3071725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Finding Statistically Significant Communities in Networks","10.1371/journal.pone.0018961",NA,NA,"4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE","4507072","5.1258131841361","1989477","53","2421806","80036","8.2965760979572","34388","53","43062","75968","4.4293732278489","25791","62","47855","3049","6.0682828083989","1231","54","1670","article",NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1.5,"9","252","0","http://dx.doi.org/10.1371/journal.pone.0018961",1332894831,1304035200,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1334153146,261,"http://www.altmetric.com/details.php?citation_id=668247","21559480","Community structure is one of the main structural features of networks, revealing both their internal organization and the similarity of their elementary units. Despite the large variety of methods proposed to detect communities in graphs, there is a big need for multi-purpose techniques, able to handle different types of datasets and the subtleties of community structure. In this paper we present OSLOM (Order Statistics Local Optimization Method), the first method capable to detect clusters in networks accounting for edge directions, edge weights, overlapping communities, hierarchies and community dynamics. It is based on the local optimization of a fitness function expressing the statistical significance of clusters with respect to random fluctuations, which is estimated with tools of Extreme and Order Statistics. OSLOM can be used alone or as a refinement procedure of partitions/covers delivered by other techniques. We have also implemented sequential algorithms combining OSLOM with other fast techniques, so that the community structure of very large networks can be uncovered. Our method has a comparable performance as the best existing algorithms on artificial benchmark graphs. Several applications on real networks are shown as well. OSLOM is implemented in a freely available software (http://www.oslom.org), and we believe it will be a valuable tool in the analysis of networks.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Quantum walks on complex networks with connection instabilities and
  community structure","10.1103/physreva.83.052315","1012.2405","2011PhRvA..83e2315T","arxiv",",","arXiv","4404859","4.835374039927","2360518","30","1324842","275191","2.5872970166068","151596","25","69753","121864","7.5510601577182","62408","34","42189","8","8.1142857142857","6","12","1","article","2804219",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","20","0","http://dx.doi.org/10.1103/physreva.83.052315",1414022043,NA,",",", ",1414021939,20,"http://www.altmetric.com/details.php?citation_id=2804219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Who Is the Best Player Ever? A Complex Network Analysis of the History of Professional Tennis","10.1371/journal.pone.0017249",NA,NA,"4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE","4725876","5.5698298731288","88704","98","4637168","83152","8.93143154021","3144","96","80008","59408","5.2807347618967","1053","98","58355","1661","7.0872445783133","52","96","1609",NA,NA,NA,2,37,30,36,2,2,NA,NA,NA,NA,NA,NA,45.196,"4","64","0","http://dx.doi.org/10.1371/journal.pone.0017249",1313060331,1297209600,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1440766384,68,"http://www.altmetric.com/details.php?citation_id=218808","21339809","We considered all matches played by professional tennis players between 1968 and 2010, and, on the basis of this data set, constructed a directed and weighted network of contacts. The resulting graph showed complex features, typical of many real networked systems studied in literature. We developed a diffusion algorithm and applied it to the tennis contact network in order to rank professional players. Jimmy Connors was identified as the best player in the history of tennis according to our ranking procedure. We performed a complete analysis by determining the best players on specific playing surfaces as well as the best ones in each of the years covered by the data set. The results of our technique were compared to those of two other well established methods. In general, we observed that our ranking method performed better: it had a higher predictive power and did not require the arbitrary introduction of external criteria for the correct assessment of the quality of players. The present work provides novel evidence of the utility of tools and methods of network theory in real applications.","pubmed","PMC3037277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Defecting or Not Defecting: How to “Read” Human Behavior during Cooperative Games by EEG Measurements","10.1371/journal.pone.0014187",NA,"2010PLoSO...514187D","4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE","4729490","5.5013917665933","2445172","35","1659667","83215","8.8990372052779","47044","31","26027","64478","4.9690810366487","28808","38","25000","1776","7.0601194366197","943","31","564",NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","117","0","http://dx.doi.org/10.1371/journal.pone.0014187",1316106508,1291161600,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1316100859,118,"http://www.altmetric.com/details.php?citation_id=273391","21152069","Understanding the neural mechanisms responsible for human social interactions is difficult, since the brain activities of two or more individuals have to be examined simultaneously and correlated with the observed social patterns. We introduce the concept of hyper-brain network, a connectivity pattern representing at once the information flow among the cortical regions of a single brain as well as the relations among the areas of two distinct brains. Graph analysis of hyper-brain networks constructed from the EEG scanning of 26 couples of individuals playing the Iterated Prisoner's Dilemma reveals the possibility to predict non-cooperative interactions during the decision-making phase. The hyper-brain networks of two-defector couples have significantly less inter-brain links and overall higher modularity--i.e., the tendency to form two separate subgraphs--than couples playing cooperative or tit-for-tat strategies. The decision to defect can be ""read"" in advance by evaluating the changes of connectivity pattern in the hyper-brain network.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Predicted and verified deviations from Zipf’s law in ecology of competing products","10.1103/physreve.84.026117","1101.5888","2011PhRvE..84b6117H","4f6fa6343cf058f610008518","1539-3755,1550-2376,","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","4506214","5.1186469373082","3108209","21","989844","5151","1.6749809708738","2421","32","1680","62527","4.7923966030131","39481","24","15254","177","1.2215113636364","63","28","50","article","248536",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"0","11","0","http://dx.doi.org/10.1103/physreve.84.026117",1314689795,1312156800,"physiology,statisticsastopic,biophysics,","Physics and Astronomy, Mathematics, Physical Sciences, ",1314680661,8,"http://www.altmetric.com/details.php?citation_id=248536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Path lengths, correlations, and centrality in temporal networks","10.1103/physreve.84.016105","1101.5913","2011PhRvE..84a6105P","4f6fa6343cf058f610008518",",","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","4504869","5.0950195588533","2366224","32","1443850","5151","1.5990489320388","1418","60","3091","79324","5.3526890813509","38060","36","28793","82","0.83212345679012","11","78","64","article","960896",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","102","0","http://dx.doi.org/10.1103/physreve.84.016105",1348399900,1293840000,",","Physics and Astronomy, Mathematics, Physical Sciences, ",1348399669,102,"http://www.altmetric.com/details.php?citation_id=960896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Interlocking editorship. A network analysis of the links between economic journals","10.1007/s11192-009-0053-7",NA,NA,"4f6fa5783cf058f610004d59","1588-2861,","Scientometrics","4505915","5.1093654012801","906364","79","3592574","711","4.7986676056338","175","75","534","123471","7.6505575767395","28565","76","94644","30","3.7706896551724","6","80","24","article","2091197",NA,NA,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,3.6,"1","20","0","http://dx.doi.org/10.1007/s11192-009-0053-7",1391341369,1244851200,",","Social Sciences, Computer Science, Physical Sciences, ",1,21,"http://www.altmetric.com/details.php?citation_id=2091197",NA,NA,NA,NA,NA,NA,"1.5.4","FALSE",NA,NA,NA,NA,NA,NA,NA
"68","Inference and Phase Transitions in the Detection of Modules in Sparse Networks","10.1103/physrevlett.107.065701","1102.1182","2011PhRvL.107f5701D","4f6fa6343cf058f610008519","0031-9007,1079-7114,","Physical Review Letters","3913265","5.0135269634915","159973","95","3751260","12580","6.8905404072542","1018","91","11524","56493","4.6230389191869","2750","94","53635","185","4.8929347826087","11","94","174","article","206216",NA,NA,3,1,3,1,NA,1,NA,NA,NA,NA,NA,18.25,"0","81","0","http://dx.doi.org/10.1103/physrevlett.107.065701",1312730610,1312156800,"medicine,","Physics and Astronomy, Physical Sciences, ",1397991420,81,"http://www.altmetric.com/details.php?citation_id=206216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Investigating the topology of interacting networks","10.1140/epjb/e2011-10795-8","1102.3067","2011EPJB...84..635D","4f6fa4eb3cf058f610002865","1434-6036,","European Physical Journal B -- Condensed Matter","3628883","4.937418267118","816687","63","2289293","142","9.7894893617021","65","33","48","97573","8.1458521502072","25317","72","71171","4","11.2","2","50","2","article","3660652",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,"1","96","0","http://dx.doi.org/10.1140/epjb/e2011-10795-8",1423996991,1302220800,",","Physics and Astronomy, Materials Science, Physical Sciences, ",1366013858,97,"http://www.altmetric.com/details.php?citation_id=3660652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Analytical maximum-likelihood method to detect patterns in real networks","10.1088/1367-2630/13/8/083001","1103.0701","2011NJPh...13h3001S","4f6fa50e3cf058f6100031c9",",","New Journal of Physics","4506762","5.1233691071599","1789195","58","2631149","2491","3.1505742971888","527","77","1942","69536","4.1667661177824","19867","69","48244","48","1.5400425531915","7","83","40","article","418751",NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,"1","64","0","http://dx.doi.org/10.1088/1367-2630/13/8/083001",1318971167,1312156800,",","Physics and Astronomy, Physical Sciences, ",1335452396,65,"http://www.altmetric.com/details.php?citation_id=418751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Randomizing world trade. I. A binary network analysis","10.1103/physreve.84.046117","1103.1243","2011PhRvE..84d6117S","4f6fa6343cf058f610008518",",","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","3628302","4.942517914036","2746043","19","724258","4500","1.6153820849078","2162","41","1857","77725","5.1800531882044","52791","25","19645","70","0.72753623188406","13","62","44","article","1053592",NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"0","42","0","http://dx.doi.org/10.1103/physreve.84.046117",1352296772,1293840000,",","Physics and Astronomy, Mathematics, Physical Sciences, ",1320281682,23,"http://www.altmetric.com/details.php?citation_id=1053592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Randomizing world trade. II. A weighted network analysis","10.1103/physreve.84.046118","1103.1249","2011PhRvE..84d6118S","4f6fa6343cf058f610008518",",","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","3626012","4.9497445252532","2907464","2","72851","4495","1.6234365821095","2651","1","50","68707","3.8579317672401","47183","1","296","132","0.81374045801527","66","1","1","article","435558",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"0","54","0","http://dx.doi.org/10.1103/physreve.84.046118",1320081052,1317427200,",","Physics and Astronomy, Mathematics, Physical Sciences, ",1320077955,42,"http://www.altmetric.com/details.php?citation_id=435558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Category theoretic analysis of hierarchical protein materials and social networks.","10.1371/journal.pone.0023911",NA,NA,"4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE","4505992","5.1115236646191","292900","93","4213130","80033","8.2565004748101","8441","89","71590","63822","4.6478553140815","4577","92","59245","1770","6.4968094968909","189","89","1581","article",NA,NA,NA,5,2,5,1,NA,NA,NA,NA,NA,NA,2,12.452,"1","49","0","http://dx.doi.org/10.1371/journal.pone.0023911",1316024058,1315440000,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1399740917,50,"http://www.altmetric.com/details.php?citation_id=261420","21931622","Materials in biology span all the scales from Angstroms to meters and typically consist of complex hierarchical assemblies of simple building blocks. Here we describe an application of category theory to describe structural and resulting functional properties of biological protein materials by developing so-called ologs. An olog is like a ""concept web"" or ""semantic network"" except that it follows a rigorous mathematical formulation based on category theory. This key difference ensures that an olog is unambiguous, highly adaptable to evolution and change, and suitable for sharing concepts with other olog. We consider simple cases of beta-helical and amyloid-like protein filaments subjected to axial extension and develop an olog representation of their structural and resulting mechanical properties. We also construct a representation of a social network in which people send text-messages to their nearest neighbors and act as a team to perform a task. We show that the olog for the protein and the olog for the social network feature identical category-theoretic representations, and we proceed to precisely explicate the analogy or isomorphism between them. The examples presented here demonstrate that the intrinsic nature of a complex system, which in particular includes a precise relationship between structure and function at different hierarchical levels, can be effectively represented by an olog. This, in turn, allows for comparative studies between disparate materials or fields of application, and results in novel approaches to derive functionality in the design of de novo hierarchical systems. We discuss opportunities and challenges associated with the description of complex biological materials by using ologs as a powerful tool for analysis and design in the context of materiomics, and we present the potential impact of this approach for engineering, life sciences, and medicine.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Emergence of Scale-Free Leadership Structure in Social Recommender Systems","10.1371/journal.pone.0020648",NA,NA,"4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE","4506762","5.1233691071599","2090365","52","2381990","80034","8.2750482675896","36787","53","42683","57689","5.0200766190542","23871","58","33627","1556","7.0205041800643","731","53","825","article",NA,NA,NA,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1.35,"1","50","0","http://dx.doi.org/10.1371/journal.pone.0020648",1311805119,1311724800,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1324353048,51,"http://www.altmetric.com/details.php?citation_id=199133","21857891","The study of the organization of social networks is important for the understanding of opinion formation, rumor spreading, and the emergence of trends and fashion. This paper reports empirical analysis of networks extracted from four leading sites with social functionality (Delicious, Flickr, Twitter and YouTube) and shows that they all display a scale-free leadership structure. To reproduce this feature, we propose an adaptive network model driven by social recommending. Artificial agent-based simulations of this model highlight a ""good get richer"" mechanism where users with broad interests and good judgments are likely to become popular leaders for the others. Simulations also indicate that the studied social recommendation mechanism can gradually improve the user experience by adapting to tastes of its users. Finally we outline implications for real online resource-sharing systems.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Complex network analysis of water distribution systems","10.1063/1.3540339","1104.0121","2011Chaos..21a6111Y","4f6fa4ea3cf058f6100024db","1054-1500,1089-7682,","Chaos","3636263","4.9281975099749","2907085","1","72080","340","2.829604719764","169","1","2","45183","8.6316812890088","37024","1","154","39","0.25657894736842","2","1","0","article",NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"0","31","0","http://dx.doi.org/10.1063/1.3540339",1428493580,1301356800,"science,","Physics and Astronomy, Mathematics, Physical Sciences, ",1375309867,31,"http://www.altmetric.com/details.php?citation_id=3887851","21456853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Reconciling long-term cultural diversity and short-term collective social behavior","10.1073/pnas.1109514109","1104.0186","2012PNAS..109.1068V","4f6fa5133cf058f6100033a0","1091-6490,","Proceedings of the National Academy of Sciences of the United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,2,4,1,NA,NA,NA,NA,NA,NA,NA,11.58,"4","47","0","http://dx.doi.org/10.1073/pnas.1109514109",1326892560,1326067200,"science,","General, ",1434891774,51,"http://www.altmetric.com/details.php?citation_id=564393","22232656","An outstanding open problem is whether collective social phenomena occurring over short timescales can systematically reduce cultural heterogeneity in the long run, and whether offline and online human interactions contribute differently to the process. Theoretical models suggest that short-term collective behavior and long-term cultural diversity are mutually excluding, since they require very different levels of social influence. The latter jointly depends on two factors: the topology of the underlying social network and the overlap between individuals in multidimensional cultural space. However, while the empirical properties of social networks are intensively studied, little is known about the large-scale organization of real societies in cultural space, so that random input specifications are necessarily used in models. Here we use a large dataset to perform a high-dimensional analysis of the scientific beliefs of thousands of Europeans. We find that interopinion correlations determine a nontrivial ultrametric hierarchy of individuals in cultural space. When empirical data are used as inputs in models, ultrametricity has strong and counterintuitive effects. On short timescales, it facilitates a symmetry-breaking phase transition triggering coordinated social behavior. On long timescales, it suppresses cultural convergence by restricting it within disjoint groups. Moreover, ultrametricity implies that these results are surprisingly robust to modifications of the dynamical rules considered. Thus the empirical distribution of individuals in cultural space appears to systematically optimize the coexistence of short-term collective behavior and long-term cultural diversity, which can be realized simultaneously for the same moderate level of mutual influence in a diverse range of online and offline settings.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Statistical mechanics of the international trade network","10.1103/physreve.85.056113",NA,"2012PhRvE..85e6113F","ads",",","Astrophysics Data System (ADS)","4508612","5.1916753366762","2868397","32","1471907","10348","3.7797935633517","7678","24","2576","75858","4.7302935259764","44003","37","28317","80","10.960632911392","45","20","16","article","748662",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"0","36","0","http://dx.doi.org/10.1103/physreve.85.056113",1337266149,1325376000,",",", ",1337268945,36,"http://www.altmetric.com/details.php?citation_id=748662",NA,NA,NA,NA,NA,NA,"1.5.4",NA,NA,NA,NA,NA,NA,NA,NA
"78","Ubiquitousness of link-density and link-pattern communities in real-world networks","10.1140/epjb/e2011-20448-7","1104.3162","2012EPJB...85...32S","4f6fa4eb3cf058f610002865","1434-6028,1434-6036,","European Physical Journal B -- Condensed Matter","3685758","4.9523304688866","375161","89","3310571","144","9.7974405594406","50","65","94","231104","3.9698204350442","22166","90","208932","4","4.5833333333333","2","50","2","article","585053",NA,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,8.546,"0","23","0","http://dx.doi.org/10.1140/epjb/e2011-20448-7",1328105894,1326844800,",","Physics and Astronomy, Materials Science, Physical Sciences, ",1329209990,19,"http://www.altmetric.com/details.php?citation_id=585053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
